"https://drive.google.com/drive/folders/1azGeDDEL5DgmIMa9Cwk-9TI0sdgq3ofB?usp=drive_link","Tipo","Provincia","Localidad","Barrio","Domicilio","Cód. Postal","Cuit","Telefono","Ap.Vacuna","Ap.Vacuna Menor"
"Farmacia Mutual Federada (Cordoba)","Farmacia","Cordoba","Cordoba","Cordoba","Humberto 1º 670, X5016 Córdoba","5004","30-54159260-8","","Si","Si"
"Farmacia Ninin","Farmacia","Cordoba","Cordoba","Cabildo","Av. Dr. Amadeo Sabattini 2393, Río Cuarto, Provincia de Córdoba, Argentina","5014","20-17001419-8","","No","No"
"Farmacia Nueva Del Marques","Farmacia","Cordoba","Cordoba","Marqués de Sobremonte","Fray Miguel De Mojica 1473","5000","27-24498075-4","","Si","No"
"Farmacia Peragallo","Farmacia","Cordoba","Cordoba","Cordoba","27 DE ABRIL 217","5000","27-16180630-2","","No","No"
"Farmacia Rivera","Farmacia","Cordoba","Cordoba","Cordoba","Arroyito 8018, X5018 Córdoba, Argentina","5018","27-21514320-7","","No","No"
"Farmacia Roma","Farmacia","Cordoba","Cordoba","Cordoba","Augusto López 1089, Córdoba, Argentina","5001","20-29189360-1","","No","No"
"Farmacia San Carlos Sud","Farmacia","Cordoba","Cordoba","Cofico","Bernardo O'Higgins 2643","5014","24-30968106-8","","No","No"
"Farmacia Sindical Sutiaga I (Farmacia Sindical Sutiaga I)","Farmacia","Cordoba","Cordoba","Cordoba","Paraná 497, HXI, Provincia de Córdoba, Argentina","5000","30-54000445-1","","No","No"
"Farmacia Vermouth","Farmacia","Cordoba","Cordoba","Cordoba","MARCELO T. DE ALVEAR 704","X5014MFA","20-34315928-6","","Si","No"
"Farmacia Xancó","Farmacia","Cordoba","Cordoba","Cabildo","Av. Sabattini 1814","5000","27-10904311-2","","Si","No"
"Farmacity - Suc 368","Farmacia","Cordoba","Cordoba","Cordoba","Av. Recta Martinolli 8512","","30-69213874-7","","No","No"
"Farmacity 101-Peatonal Cba","Farmacia","Cordoba","Cordoba","San Martin","9 DE JULIO 336","5000","30-69213874-7","","No","No"
"Farmacity 109-Cerro Las Rosas Iii","Farmacia","Cordoba","Cordoba","Villa Warcalde","RAFAEL NUÑEZ AVDA. 3660","5000","30-69213874-7","","No","No"
"Farmacity 131-La Cañada","Farmacia","Cordoba","Cordoba","Cordoba","LAVALLEJA 34","5000","30-69213874-7","","No","No"
"Farmacity 157-Boulevard San Juan","Farmacia","Cordoba","Cordoba","San Martin","BOULEVARD SAN JUAN 24","5000","30-69213874-7","","No","No"
"Farmacity 168-La Cordillera - Cba","Farmacia","Cordoba","Cordoba","Cordoba","LA CORDILLERA 3941","5000","30-69213874-7","","No","No"
"Farmacity 210 - Cba Fza Aerea ","Farmacia","Cordoba","Cordoba","Cabildo","AV. FUERZA AEREA ARGENTINA 1895","5000","30-69213874-7","","No","No"
"Farmacity 223 - Cba Velez Sarsfield 2 ","Farmacia","Cordoba","Cordoba","Parque Vélez Sarsfield","AV. VELEZ SARSFIELD 3335","5000","30-69213874-7","","No","No"
"Farmacity 259 - Cbafrague ","Farmacia","Cordoba","Cordoba","Alta Cordoba","FRAGUEIRO 2070, ALTA CÓRDOBA","5001","30-69213874-7","","No","No"
"Farmacity 266 - Cbaplazasm","Farmacia","Cordoba","Cordoba","Cordoba","ROSARIO DE SANTA FE 17/19/25","5000","30-69213874-7","","No","No"
"Farmacity 274 - Fuerza Aérea Ii ","Farmacia","Cordoba","Cordoba","Villa Aeronautica","FUERZA AÉREA II 2789","5000","30-69213874-7","","No","No"
"Farmacity 285 - Cba Elias Yofre ","Farmacia","Cordoba","Cordoba","Cordoba","ELIASYOFRE 965","5000","30-69213874-7","","No","No"
"Farmacity 295 – Colon 3 Cba","Farmacia","Cordoba","Cordoba","Alta Cordoba","COLON 1356","5000","30-69213874-7","","No","No"
"Farmacity 300-Gral Paz","Farmacia","Cordoba","Cordoba","Cordoba","GRAL PAZ 36/38","5000","30-69213874-7","","No","No"
"Farmacity 306-Granaderos ","Farmacia","Cordoba","Cordoba","Cordoba","BV. LOS GRANADEROS 2455","5008","30-69213874-7","","No","No"
"Farmacity 312 - Recta Martinioli","Farmacia","Cordoba","Cordoba","Villa del Lago","Martinolli 7759","5000","30-69213874-7","","No","No"
"Farmacity 313- Felix Frias Cba","Farmacia","Cordoba","Cordoba","Alta Cordoba","25 DE MAYO 998","5004","30-69213874-7","","Si","No"
"Farmacity 314","Farmacia","Cordoba","Cordoba","San Martin","Boulevard San Juan n° 460/466 460","5000","30-69213874-7","","No","No"
"Farmacity 318","Farmacia","Cordoba","Cordoba","Cabildo","Av. Sabattini 2225","5000","30-69213874-8","","No","No"
"Farmacity 349 – Ghandi","Farmacia","Cordoba","Cordoba","Cofico","Av. Mahatma Gandhi 951","5000","30-69213874-7","","No","No"
"Farmacity 34-Aerop. Intern. Pajas Blancas","Farmacia","Cordoba","Cordoba","Pajas Blancas","AEROPUERTO INTERNACIONAL PAJAS BLANCAS","5000","30-69213874-7","","No","No"
"Farmacity 351-valle Escondido","Farmacia","Cordoba","Cordoba","Cordoba","Av. República De China 1871","5023","30-69213874-7","","No","No"
"Farmacity 374 - Ricardo Rojas","Farmacia","Cordoba","Cordoba","Cordoba","Av. Ricardo Rojas 7312","5021","30-69213874-7","","No","No"
"Farmacity 401-funes","Farmacia","Cordoba","Cordoba","Cordoba","José Roque Funes 1173","5009","30-69213874-7","","No","No"
"Farmacity 412 - Colon 4","Farmacia","Cordoba","Cordoba","Villa Cabrera","Av. Colón 3825","5003","30-69213874-7","","Si","No"
"Farmacity 58-Colon","Farmacia","Cordoba","Cordoba","Cordoba","COLON 66","5000","30-69213874-7","","No","No"
"Farmacity 59-Velez Sarfield","Farmacia","Cordoba","Cordoba","Cordoba","VELEZ SARFIELD 294","5000","30-69213874-7","","No","No"
"Farmacity 60-Cerro Las Rosas","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","RAFAEL NUÑEZ 4053","5000","30-69213874-7","","No","No"
"Farmacity 66-Chacabuco","Farmacia","Cordoba","Cordoba","Alta Cordoba","CHACABUCO 588","5000","30-69213874-7","","No","No"
"Farmacity 70-Estrada","Farmacia","Cordoba","Cordoba","Cordoba","JOSE MANUEL ESTRADA 153","5000","30-69213874-7","","No","No"
"Farmacity 74-Irigoyen","Farmacia","Cordoba","Cordoba","Cordoba","HIPOLITO IRIGOYEN 396","5000","30-69213874-7","","No","No"
"Farmacity 75-Colon Ii","Farmacia","Cordoba","Cordoba","Cordoba","COLON 717","5000","30-69213874-7","","No","No"
"Farmacity 79-Chacabuco Ii","Farmacia","Cordoba","Cordoba","Cordoba","CHACACUCO 79","5000","30-69213874-7","","No","No"
"Farmacity 83-27 De Abril","Farmacia","Cordoba","Cordoba","Cordoba","27 DE ABRIL 284","5000","30-69213874-7","","No","No"
"Farmacity 86-Cerro Ii","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","RAFAEL NUÑEZ AVDA. 4418","5000","30-69213874-7","","No","No"
"Farmacity 88-Pueyrredon 60","Farmacia","Cordoba","Cordoba","Cordoba","PUEYRREDON 60","5000","30-69213874-7","","No","No"
"Farmacity 90-Castro Barros Cba","Farmacia","Cordoba","Cordoba","Nueva Córdoba","CASTRO BARROS 523","5000","30-69213874-7","","No","No"
"Farmacrece","Farmacia","Cordoba","Cordoba","Parque las Palmas","Juan B Justo 2359","5001","27-29473726-5","","Si","No"
"Farmaflores Ii","Farmacia","Cordoba","Cordoba","Cordoba","Ruta E 66 Esquina San Juan Local 12","5220","30-71037100-4","","No","No"
"Farmagroup Srl","Farmacia","Cordoba","Cordoba","Las Rosas","NAZARET 3182","5000","30-71193006-6","","No","No"
"Farmalleza","Farmacia","Cordoba","Cordoba","Parque Atlantida","Sol de Mayo 1204, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5010","20-20268118-3","","Si","No"
"Farmanexus Ii","Farmacia","Cordoba","Cordoba","General Paz","Gral. Paz 298, X5022 Córdoba","","30-70997457-9","","No","No"
"Farmaser Ii","Farmacia","Cordoba","Cordoba","Yofre Norte","Av. Republica De China 1420","5003","30-71570855-4","","Si","Si"
"Farmaservis - Corbella De Grau","Farmacia","Cordoba","Cordoba","Cordoba","Mariano Fragueiro 1394 ","5000","27-14359178-1","","Si","No"
"Farmasol Retiro","Farmacia","Cordoba","Cordoba","Villa Belgrano","Av. Rancagua 5050","5000","30-71717716-5","","No","No"
"Farmasut","Farmacia","Cordoba","Cordoba","Nueva Córdoba","AMBROSIO OLMOS 595","5000","30-68976435-1","","Si","No"
"Farmatina","Farmacia","Cordoba","Cordoba","Cordoba","Av. Florencio Parravicini 2515, Córdoba","5001","27-27246716-7","","No","No"
"Farmatina Ii","Farmacia","Cordoba","Cordoba","Cordoba","Javier Lascano Colodrero 2551,","5000","27-27246716-7","","Si","Si"
"Farmavida Vi","Farmacia","Cordoba","Cordoba","San Martin","27 De Abril 474","5000","30-66941453-2","","No","No"
"Farmavida Xiii","Farmacia","Cordoba","Cordoba","Parque San Vicente","Av. Amadeo Sabattini 4487","5903","30-66941453-2","","No","No"
"Farmavida Xiv","Farmacia","Cordoba","Cordoba","Parque San Vicente","Av. Amadeo Sabattini 4097","5006","30-66941453-2","","No","No"
"Farmavida Xv","Farmacia","Cordoba","Cordoba","Cordoba","Av. Cdad. De Valparaíso 3080","5016","30-66941453-2","","No","No"
"Ferreyra Barrionuevo","Farmacia","Cordoba","Cordoba","Alta Cordoba","Bernardo O'higgins 4228, X5014ihh Córdoba","5014","27-35528697-0","","Si","No"
"Fornero","Farmacia","Cordoba","Cordoba","Villa Belgrano","Ciudad De Tampa 2490","5008","27-22036450-5","","Si","No"
"Gemona","Farmacia","Cordoba","Cordoba","Cofico","Duarte Quirós 1851","5000","27-25757973-0","","No","No"
"General Paz - Suc Guiñazu","Farmacia","Cordoba","Cordoba","Parque las Palmas","Avenida Juan B. Justo 9309","5145","30-68978301-1","","Si","No"
"General Paz Armada","Farmacia","Cordoba","Cordoba","Arguello","Armada Argentina 510 Loc 3 B","5016","30-68978301-1","","Si","Si"
"General Paz Chacabuco","Farmacia","Cordoba","Cordoba","Nueva Córdoba","Boulevard Chacabuco 787, Córdoba, Argentina","5000","30-68978301-1","","Si","No"
"General Paz Libertad","Farmacia","Cordoba","Cordoba","Cofico","Libertad 2077, Córdoba, Argentina","5004","30-68978301-1","","Si","No"
"General Paz Liceo","Farmacia","Cordoba","Cordoba","Cordoba","Av. Alfonsina Storni 37","5019","30-68978301-1","","Si","No"
"General Paz Patria","Farmacia","Cordoba","Cordoba","Cofico","Av. Patria 886, X5022cpw CóRdoba","5000","30-68978301-1","","No","No"
"General Paz Tadicor ","Farmacia","Cordoba","Cordoba","Villa Belgrano","Colectora norte salida 1B Av. de Circunvalacion local 4 bis","5008","30-68978301-1","","Si","No"
"General Paz-Centro I","Farmacia","Cordoba","Cordoba","Cordoba","Tucumán 496","5000","30-68978301-1","","Si","No"
"General Paz-Colon","Farmacia","Cordoba","Cordoba","Cordoba","Avenida Colón 745, Córdoba, Argentina","5000","30-68978301-1","","Si","No"
"General Paz-Farmacia General Paz","Farmacia","Cordoba","Cordoba","Cordoba","Avenida 24 de Septiembre 802, Córdoba, Argentina","5004","30-68978301-1","","Si","No"
"General Paz-Roma","Farmacia","Cordoba","Cordoba","Cordoba","Roma 557, BAK, Córdoba, Argentina","5004","30-68978301-1","","Si","No"
"Herrera","Farmacia","Cordoba","Cordoba","Villa el Libertador","Av ConcepcióN Arenal 1192","5016","27-18015459-6","","No","No"
"Hp Farma 24 De Septiembre","Farmacia","Cordoba","Cordoba","Cofico","Av 24 De Septiembre 1006","5000","30-54602252-4","","No","No"
"Hp Farma Cerro De Las Rosas","Farmacia","Cordoba","Cordoba","Cordoba","Hugo Wast 1803 esqu Luis de Tejeda","5000","30-54602252-4","","No","No"
"Hp Farma Colon","Farmacia","Cordoba","Cordoba","Cordoba","Av Santa Rosa 794","5000","30-54602252-4","","No","No"
"Hp Farma Hiper Libertad","Farmacia","Cordoba","Cordoba","Cordoba","Fray Luis Beltran Y M Cardeñosa Local 435 Hiper Libertad Rodriguez Del Busto","5008","30-54602252-4","","No","No"
"Hp Farma O`higgins","Farmacia","Cordoba","Cordoba","Villa Warcalde","Av Bernardo O`higgins 5125","5014","30-54602252-4","","No","No"
"Hp Farma Patio Olmos ","Farmacia","Cordoba","Cordoba","Cordoba","Av Velez Sarsfield 361 Local 319 Patio Olmos Shopping","5000","30-54602252-4","","Si","Si"
"Hp Farma Raul Ferreyra","Farmacia","Cordoba","Cordoba","Villa Aeronautica","Av. Richieri 2200","5000","30-54602252-4","","Si","Si"
"Hp Farma Recta","Farmacia","Cordoba","Cordoba","Villa Belgrano","Av Recta Martinoli 5284 ","5147","30-54602252-4","","No","No"
"Hp Farma Ruta 20","Farmacia","Cordoba","Cordoba","Villa Aeronautica","Av Fuerza Aerea 2944 Esq Felipe Boero","5000","30-54602252-4","","No","No"
"Hp Jockey","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","Elias Yofre 1050 (paseo Del Jockey)","5014","30-54602252-4","","No","No"
"Ip-farma","Farmacia","Cordoba","Cordoba","Cofico","Av. Patria 615","5000","27-22010470-8","","Si","No"
"Jacobo","Farmacia","Cordoba","Cordoba","Cordoba","TRISTAN MALBRAN 4224","5009","20-12078371-9","","Si","Si"
"Juarez Ruffino 4","Farmacia","Cordoba","Cordoba","Cordoba","Los Granaderos 2068","5008","27-17154752-6","","Si","Si"
"Lider 258","Farmacia","Cordoba","Cordoba","Cordoba","GENERAL PAZ AVDA. 258","5000","30-70928404-1","","No","No"
"Lider 820","Farmacia","Cordoba","Cordoba","Alta Cordoba","Avenida Colón 820, Córdoba, Argentina","5000","30-70928404-1","","No","No"
"Lider Cerro","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","Avenida Rafael Núñez 4220, Córdoba, Argentina","5000","30-70928404-1","","No","No"
"Lider Cofico","Farmacia","Cordoba","Cordoba","Cordoba","Juan Del Campillo 600","5000","30-70928404-1","","No","No"
"Lider Manantiales","Farmacia","Cordoba","Cordoba","Manantiales","Barrio Lomas De Manantiales, Av. De Circunvalación Agustín Tosco 2598 S-o","5010","30-70928404-1","","No","No"
"Lider Ricchieri","Farmacia","Cordoba","Cordoba","Cordoba","Mateo Luque 1296","5000","30-70928404-1","","No","No"
"Lider Sabattini","Farmacia","Cordoba","Cordoba","Parque San Vicente","Av. Sabattini 4281","5006","30-70928404-1","","No","No"
"Lider San Carlos","Farmacia","Cordoba","Cordoba","Villa Warcalde","Bernardo O'Higgins 5845","5014","30-70928404-1","","No","No"
"Lider Spilimbergo","Farmacia","Cordoba","Cordoba","Cordoba","La Cordillera 3912","5009","30-70928404-1","","Si","No"
"Lider Sucre","Farmacia","Cordoba","Cordoba","Alta Cordoba","Av. Colón 1027","5000","30-70928404-1","","No","No"
"Lider Velez","Farmacia","Cordoba","Cordoba","Cordoba","José Javier Díaz 16","5000","30-70928404-1","","Si","Si"
"Machado Nasif ","Farmacia","Cordoba","Cordoba","Cordoba","Chacabuco 155","5000","27-27010131-9","","No","No"
"Maestro Vidal","Farmacia","Cordoba","Cordoba","Cordoba","Maestro Vidal 1700","5010","20-26291464-0","","No","No"
"Maestro Vidal 2","Farmacia","Cordoba","Cordoba","Arguello","Av. Armada Argentina 2928","5010","20-26291464-0","","No","No"
"Marcantonelli","Farmacia","Cordoba","Cordoba","Cabildo","Avenida Fuerza Aerea Argentina 1701, Córdoba, Argentina","5011","27-14155808-6","","Si","No"
"Marisa Di Carlo","Farmacia","Cordoba","Cordoba","Alta Cordoba","Avenida 24 De Septiembre 2415","5000","27-14218405-8","","No","No"
"Martin Tschopp","Farmacia","Cordoba","Cordoba","Parque las Palmas","Av. Juan B. Justo 2720","5001","20-33595572-3","","No","No"
"Martínez 6","Farmacia","Cordoba","Cordoba","Cofico","Av. Patria 1531","5022","30-71817019-9","","Si","No"
"Maxifarma","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","Ischilín 5996, Ciudad de Córdoba, Córdoba, Argentina","5017","33-71625901-9","","No","No"
"Medicarlo 10","Farmacia","Cordoba","Cordoba","Cordoba","E. Bodereau 9277, X5018 CóRdoba","5018","33-71481217-9","","No","No"
"Medicarlo 12","Farmacia","Cordoba","Cordoba","Talleres","Jacinto De Altolaguirre 2112","5012","30-71447364-2","","No","No"
"Medicarlo 8","Farmacia","Cordoba","Cordoba","Villa del Lago","Tte. Gral. Donato Alvarez 7954, X5147 CóRdoba","5147","33-71481217-9","","No","No"
"Medicarlo 9","Farmacia","Cordoba","Cordoba","Cordoba","Av. Ricardo Rojas 6685","5147","33-71481217-9","","No","No"
"Medicarlo Del Pueblo","Farmacia","Cordoba","Cordoba","Cofico","San JeróNimo 2607","5006","30-68225346-7","","No","No"
"Medicarlo Del Pueblo Ii","Farmacia","Cordoba","Cordoba","Cofico","San Jerónimo 2909, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-68225346-7","","No","No"
"Medicarlo Plaza","Farmacia","Cordoba","Cordoba","Observatorio","Av. ColóN 2806","5003","33-71481217-9","","No","No"
"Medicarlo S.R.L","Farmacia","Cordoba","Cordoba","Alta Cordoba","Av. Bernardo O'Higgins 3700, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-68225346-7","","No","No"
"Medicfarma","Farmacia","Cordoba","Cordoba","Cordoba","Bariloche 329","5016","27-22647579-1","","No","No"
"Mediterranea","Farmacia","Cordoba","Cordoba","Cordoba","Buenos Aires 256, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","20-22480009-7","","Si","No"
"Mega Salud Sucursal Curf","Vacunatorio","Cordoba","Cordoba","General Paz","Jacinto Rios 554, 4to Piso - Barrio General Paz, Córdoba Capital, Córdoba","5000","30-71437593-4","","Si","No"
"Mondino Fernando Ariel","Farmacia","Cordoba","Cordoba","Cordoba","Av. San Martin 59","5152","20-26221992-6","","Si","No"
"Monica Martinez Ii","Farmacia","Cordoba","Cordoba","San Martin","SARMIENTO 1604","5004","27-14536942-3","","Si","Si"
"Monserrat","Farmacia","Cordoba","Cordoba","Parque Liceo","Av. Baradero 2853","X5014DLY","20-24793073-7","","Si","No"
"Mundial I","Farmacia","Cordoba","Cordoba","Cordoba","Mariano Fragueiro 2400","X5001GCN","30-70885397-2","","No","No"
"Mundial Iii","Farmacia","Cordoba","Cordoba","Cordoba","José Baigorri 763","5001","30-70885397-2","","No","No"
"Mundial Iv","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","Av. Rafael Núñez 4406","5009","30-70885397-2","","No","No"
"Mutualista","Farmacia","Cordoba","Cordoba","Villa el Libertador","Av. Concepción Arenal 1120,","5000","30-71436707-9","","No","No"
"Nancy","Farmacia","Cordoba","Cordoba","Cordoba","Entre Ríos 4592","5001","27-23105424-9","","No","No"
"Nueva Patria ","Farmacia","Cordoba","Cordoba","Cordoba","24 de Septiembre","5000","30-70851740-9","","No","No"
"Nuevafarma","Farmacia","Cordoba","Cordoba","Cordoba","Obispo Salguero 778","5001","27-34855683-0","","Si","No"
"Octubre","Farmacia","Cordoba","Cordoba","Cordoba","José Javier Díaz 387","5001","27-17531072-5","","No","No"
"Parque","Farmacia","Cordoba","Cordoba","Villa el Libertador","Tronador 2023, Ciudad de Córdoba, Provincia de Córdoba, Argentina 2023","5000","27-30126284-7","","No","No"
"Parque Ii","Farmacia","Cordoba","Cordoba","Parque las Palmas","Luis Agote 2010, Ciudad de Córdoba, Córdoba, Argentina","5000","27-30126284-7","","No","No"
"Parque Iii","Farmacia","Cordoba","Cordoba","Cordoba","Avenida Ricardo Rojas 7472, Córdoba, Argentina","5022","27-32337514-9","","Si","No"
"Paz Nuñez","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","Av. Rafael Núñez 6474","5021","30-68978301-1","","No","No"
"Perrone","Farmacia","Cordoba","Cordoba","Cordoba","Jacinto Diaz De La Fuente, X5010 Córdoba, Argentina","5010","27-35283679-1","","Si","No"
"Prataviera Liliana ","Farmacia","Cordoba","Cordoba","Villa del Lago","NEPER 6079","5021","27-13491176-5","","No","No"
"Puerto De Palos ","Farmacia","Cordoba","Cordoba","Cordoba","PUERTO DE PALOS 1329","5012","23-25336330-4","","Si","No"
"Reartes Salazar","Farmacia","Cordoba","Cordoba","Cordoba","Mariano Fragueiro 5046","5001","27-10822256-0","","Si","Si"
"Red Cerro","Farmacia","Cordoba","Cordoba","Villa Warcalde","Avenida Rafael Núñez 3686, Córdoba, Argentina","5009","30-71569993-8","","No","No"
"Red Cordoba Shopping","Farmacia","Cordoba","Cordoba","Arguello","Jose Antonio De Goyechea 2851","5000","30-71569993-8","","No","No"
"Red Libertad","Farmacia","Cordoba","Cordoba","Cordoba","Libertad 1100","5000","30-71569993-8","","Si","No"
"Red Nuevocentro","Farmacia","Cordoba","Cordoba","Cofico","Duarte Quirós 1400, Córdoba, Argentina","5000","30-71569993-8","","Si","No"
"Red Ohiggins","Farmacia","Cordoba","Cordoba","Villa Warcalde","Bernardo O'higgins 5450","5016","30-71569993-8","","No","No"
"Red Paseo Lugones","Farmacia","Cordoba","Cordoba","Cordoba","Damian Garat 3255","5000","30-68223739-9","","No","No"
"Red Paseo Rivera","Farmacia","Cordoba","Cordoba","Cordoba","Avenida Ricardo Rojas & Manuel De Falla","5018","30-71569993-8","","No","No"
"Red Sabattini","Farmacia","Cordoba","Cordoba","Parque Chacabuco","Av. Amadeo Sabattini 3250 Local 470","5014","30-71569993-8","","No","No"
"Red Urbana","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","Av. Pedro Simón Laplace 5890","5000","30-71569993-8","","No","No"
"Red Urca","Farmacia","Cordoba","Cordoba","Villa el Libertador","Emilio Lamarca 4135","5000","30-71569993-8","","Si","No"
"Reverte Maria Elizabeth","Farmacia","Cordoba","Cordoba","Cordoba","CONCEJAL CABICHE 319 B","5001","27-22567279-8","","Si","No"
"Riomed","Farmacia","Cordoba","Cordoba","Cordoba","Río Negro 4550","5000","30-71767616-1","","No","No"
"Rosso Marcos","Farmacia","Cordoba","Cordoba","Cofico","SAN JERONIMO 3105","5006","27-21719420-8","","No","No"
"Salcedo","Farmacia","Cordoba","Cordoba","Cordoba","Roma 1130","5004","27-18397819-0","","Si","Si"
"San Agustin","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","Av. Monseñor Pablo Cabrera 3481, X5008 Córdoba","5008","20-21392002-3","","No","No"
"San Camilo","Farmacia","Cordoba","Cordoba","Cordoba","Bv. de los Alemanes 5850","5022","27-20849706-0","","No","No"
"San Camilo Ii","Farmacia","Cordoba","Cordoba","Cerro de las Rosas","Av. Rafael Nuñez 5887","5021","27-20849706-0","","No","No"
"Sanchez Antoniolli 1","Farmacia","Cordoba","Cordoba","Villa el Libertador","Congreso 5476, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 10","Farmacia","Cordoba","Cordoba","Corral de Palos","Learte 2484, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 11","Farmacia","Cordoba","Cordoba","Cordoba","Avenida Vélez Sarfiel 3426, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5016","30-70882226-0","","No","No"
"Sanchez Antoniolli 12","Farmacia","Cordoba","Cordoba","Primero de Mayo","Blas Rosales 5395, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 14","Farmacia","Cordoba","Cordoba","Cordoba","BV. ILLIA 417","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 15","Farmacia","Cordoba","Cordoba","San Roque","Avenida Fuerza Aerea Argentina 4730, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 16","Farmacia","Cordoba","Cordoba","Villa General Belgrano","Avenida Carlos Federico Gauss 5904","5021","30-70882226-0","","No","No"
"Sanchez Antoniolli 19","Farmacia","Cordoba","Cordoba","Villa Belgrano","AV. VALPARAISO 4301","5016","30-70882226-0","","No","No"
"Sanchez Antoniolli 2","Farmacia","Cordoba","Cordoba","Santa Isabel 1ª Sección","Avenida Renault Argentina 1916, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 20","Farmacia","Cordoba","Cordoba","Los Naranjos","Avenida Fuerza Aerea Argentina 2804, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5010","30-70882226-0","","No","No"
"Sanchez Antoniolli 21","Farmacia","Cordoba","Cordoba","Cordoba","José María Bedoya 695 - Local 2","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 23","Farmacia","Cordoba","Cordoba","Nueva Córdoba","Av. Emilio Caraffa 2392","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 24","Farmacia","Cordoba","Cordoba","Cofico","Av. Mahatma Gandhi 193","5003","30-70882226-0","","No","No"
"Sanchez Antoniolli 24","Farmacia","Cordoba","Cordoba","San Martin","Bv. San Juan 590","5003","30-70882226-0","","No","No"
"Sanchez Antoniolli 26","Farmacia","Cordoba","Cordoba","Cordoba","Alonso De Ercilla 5222, X5000 Córdoba","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 27","Farmacia","Cordoba","Cordoba","Cabildo","Av. Amadeo Sabattini 2297","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 29","Farmacia","Cordoba","Cordoba","Cordoba","Av. Ramon J. Carcano 1291-mzana 1 Lote 13","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 3","Farmacia","Cordoba","Cordoba","Marqués de Sobremonte","Avenida Monseñor Pablo Cabrera 4650, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 31","Farmacia","Cordoba","Cordoba","Cofico","Av. Patria 617, X5000 Córdoba","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 4","Farmacia","Cordoba","Cordoba","Matienzo","Avenida Fuerza Aerea Argentina 3735, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 5","Farmacia","Cordoba","Cordoba","Villa el Libertador","Defensa 1753, Ciudad de Córdoba, Córdoba, Argentina","5017","30-70882226-0","","No","No"
"Sanchez Antoniolli 6","Farmacia","Cordoba","Cordoba","Parque Vélez Sarsfield","Naciones Unidas 927, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5016","30-70882226-0","","No","No"
"Sanchez Antoniolli 7","Farmacia","Cordoba","Cordoba","San Fernando","Donato Alvarez 7914, Cordoba","5016","30-70882226-0","","No","No"
"Sanchez Antoniolli 8","Farmacia","Cordoba","Cordoba","Artigas","Avenida Vélez Sarsfield 4101, Ciudad de Córdoba, Provincia de Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Sanchez Antoniolli 9","Farmacia","Cordoba","Cordoba","Crisol","Avenida Leandro N. Alem 1570, Ciudad de Córdoba, Córdoba, Argentina","5000","30-70882226-0","","No","No"
"Santiso","Farmacia","Cordoba","Cordoba","Alto Verde","BOULEVARD LOS GRANADEROS 2942","5009","27-06059869-5","","No","No"
"Santiso Norma (Farmacia Santiso Suc 2)","Farmacia","Cordoba","Cordoba","Alta Cordoba","Av. Colón 1395","5000","27-06059869-5","","Si","No"
"Silvana Martinez","Farmacia","Cordoba","Cordoba","Centro","Avenida Bulnes 2830, Ciudad de Córdoba, Córdoba, Argentina","5013","23-22036601-4","","No","No"
"Silvana Martinez Ii","Farmacia","Cordoba","Cordoba","Talleres","Altolaguirre 1866","5000","23-22036601-4","","Si","No"
